"Age","<$500/week","$500-1k/week","$1k-1.8k/week",">$1.8k/week"
30,66770.7656576794,93458.6729673676,132404.398169296,79342.1632056566
31,66525.3567513029,90673.2245566731,130247.73022959,87161.688462434
32,65721.453333527,87263.5091688338,124795.877351775,92502.1601458645
33,65288.2009760193,84575.0185408686,121019.387294258,97259.3931888545
34,64668.9596487548,82563.9900534909,118785.12721859,102043.923079164
35,65841.3885574423,82349.7845240879,117098.481673262,106711.345245208
36,65313.9572124989,80039.6828616484,114952.521867982,111077.838057871
37,64134.4769110737,78558.5746496341,112085.898156612,113186.05028268
38,64386.2783581375,78730.6418015604,110202.331590804,116136.748249498
39,61870.0288183232,75059.9901477096,106088.140392896,115008.840641072
40,61337.2226751102,73303.047532848,102745.38771454,114400.342077502
41,57752.4736470468,69479.7583950515,97171.5234454378,109727.244512464
42,56553.609905186,68250.7879557209,94728.6836505193,108274.918488574
43,55180.4052174785,66117.5806016823,91440.8399204,105928.174260439
44,54959.9231572353,66032.2672791815,90665.541866778,104790.267696805
45,55583.7616258485,66018.3893795164,90322.8122768151,104549.03671782
46,56585.8584398196,66519.8605300326,90700.2749331365,105484.006097011
47,58028.8799439811,68905.3609439055,92197.7797444302,105383.979367683
48,60490.1907098968,70400.7717277892,93873.0319395602,106646.005622754
49,64173.6049924301,73315.7831463602,97451.7742796158,109308.837581594
50,67908.6893177279,75411.0458177035,99149.0626674624,109081.202197106
51,64307.1472207985,70556.170862047,91850.3229599548,99339.3589571996
52,66136.8524511744,70114.2405482977,90319.4998350488,96134.407165479
53,65582.7379176328,67748.7830634964,86689.7036387504,88905.7753801204
54,66452.271089352,66519.3171973983,84351.4534898486,84392.9582234011
55,69895.2939311192,66333.8045608042,83035.7412549669,80668.1602531097
56,73334.0587658538,67667.452066926,83163.4091996921,78472.079967528
57,78984.4190983248,69988.1078164349,84031.9352861875,78146.5377990529
58,86081.8955297946,72180.2663421419,83045.5403000392,74179.2978280244
59,90688.2034027494,71948.0957125357,79967.8658500068,70099.835034708
60,96693.1471384788,72099.3951244095,77686.4134584399,64418.0442786718
61,99514.3839867018,71033.3433070139,71905.6342060304,56312.638500254
62,103782.003435095,70424.6013841732,67972.2725742582,50982.1226064735
63,109124.312803319,69378.6337568999,63341.3288445152,44410.7245952654
64,114188.112872198,67573.8790147206,58220.0579207093,39032.950192372
65,120505.144012174,66531.316241302,53573.3055074753,33752.2342390484
66,123547.386671141,68726.6502282995,45970.5517898446,27972.4113107151
67,126047.994380814,68443.5889387269,39802.2745208382,23204.1421596213
68,129888.327442784,68479.6683351205,35953.4525600643,20341.5516620313
69,129782.628359999,66472.0500013036,31964.9233490054,17495.3982896921
70,131116.240625638,65534.0265270243,28896.4804299376,15650.2524174
71,130231.359987279,65131.2185547807,26634.165421049,13873.2560368915
72,126616.536994878,62793.7592487194,24737.2609561753,12322.4428002277
73,127727.37413925,61784.0984442744,23190.727365468,11275.8000510074
74,133609.473250685,64705.8299731463,23809.6075746824,11149.089201486
75,110007.585106749,52472.0192525871,18318.8587341424,8633.53690652181
76,104472.952282691,49103.542273874,16629.6980699993,7978.80737343555
77,99534.7192062628,45785.4015145053,14323.8816809171,7202.99759831488
78,88664.0002860089,39747.332553081,11653.8867103708,5869.78045053928
79,86546.558927775,38256.5691383236,11119.8208342136,5618.05109968782
80,79778.1870059159,33653.9513638029,9417.31453850584,4800.5470917753
81,76209.4450588004,31346.3947907603,8397.68228128772,4352.47786915153
82,71184.1334645789,28904.5440467613,7507.18857757527,3968.1339110845
83,65627.7885142729,26103.2875477635,6724.33685097775,3353.58708698584
84,60716.8542903801,23627.3000791766,5841.06544437846,3068.78018606493
85,54541.8951190843,20939.7866558451,5077.26404242814,2602.05418264252
86,48553.7383531612,18068.0974626818,4299.51399232679,2211.65019183029
87,42456.2007871092,16030.768916611,3742.69867082498,1998.33162545482
88,38044.0093923348,14292.6500882501,3351.59682299546,1854.74369641957
89,33394.2417490941,12500.9599696406,2922.76659974537,1531.03168151993
90,29905.9307812887,11619.4299150235,2559.53353683689,1494.10576685092
91,25649.4769986746,10241.4296705783,2307.8918953868,1243.20143536029
92,20661.8785688178,8596.41489664135,1806.82337651789,1010.88315802299
93,16538.8522014183,7052.92321820315,1577.66256823631,904.562012142238
94,12675.1539289559,5645.31646932185,1210.77717976319,644.752421959096
95,9535.60915148823,4406.55513105287,1000.48893824967,546.34677920924
96,6906.81467087685,3454.10541656546,772.077726499879,363.002186057809
97,4967.08096885813,2433.69878892734,549.682698961938,280.537543252595
98,3507.26451940147,1661.87243215825,365.582804970834,208.28024346944
99,2559.63593121112,1101.46432491767,273.127332601537,144.772411269667
100,3664.30668887039,1453.74882042742,264.038856508465,148.905634193727
